cubic, 1e-05, 31.18, 2, 100.27
cubic, 1e-05, 76.53, 10, 100.27
cubic, 1e-05, 88.26, 100, 100.27
cubic, 1e-05, 12.68, 1000, 100.27
cubic, 1e-05, 0.01, 10000, 100.27
cubic, 0.0001, 31.26, 2, 100.27
cubic, 0.0001, 62.75, 10, 100.27
cubic, 0.0001, 35.47, 100, 100.26
cubic, 0.0001, 7.05, 1000, 100.27
cubic, 0.0001, 0.01, 10000, 100.27
cubic, 0.001, 29.14, 2, 100.27
cubic, 0.001, 28.96, 10, 100.27
cubic, 0.001, 5.53, 100, 100.27
cubic, 0.001, 3.36, 1000, 100.27
cubic, 0.001, 0.01, 10000, 100.27
cubic, 0.01, 18.07, 2, 100.27
cubic, 0.01, 8.75, 10, 100.27
cubic, 0.01, 1.54, 100, 100.27
cubic, 0.01, 0.46, 1000, 100.27
cubic, 0.01, 0.0, 10000, 100.27
cubic, 0.02, 13.44, 2, 100.27
cubic, 0.02, 5.8, 10, 100.27
cubic, 0.02, 0.87, 100, 100.27
cubic, 0.02, 0.29, 1000, 100.27
cubic, 0.02, 0.01, 10000, 100.27
cubic, 0.05, 7.26, 2, 100.27
cubic, 0.05, 3.56, 10, 100.27
cubic, 0.05, 0.56, 100, 100.27
cubic, 0.05, 0.13, 1000, 100.27
cubic, 0.05, 0.0, 10000, 100.27
cubic, 0.1, 4.4, 2, 100.27
cubic, 0.1, 2.2, 10, 100.27
cubic, 0.1, 0.33, 100, 100.27
cubic, 0.1, 0.07, 1000, 100.27
cubic, 0.1, 0.0, 10000, 100.27
cubic, 0.15, 1.98, 2, 100.27
cubic, 0.15, 1.37, 10, 100.27
cubic, 0.15, 0.27, 100, 100.27
cubic, 0.15, 0.06, 1000, 100.27
cubic, 0.15, 0.01, 10000, 100.27
cubic, 0.2, 1.14, 2, 100.27
cubic, 0.2, 0.98, 10, 100.27
cubic, 0.2, 0.22, 100, 100.27
cubic, 0.2, 0.03, 1000, 100.27
cubic, 0.2, 0.0, 10000, 100.27
cubic, 0.25, 0.7, 2, 100.27
cubic, 0.25, 0.45, 10, 100.27
cubic, 0.25, 0.18, 100, 100.27
cubic, 0.25, 0.03, 1000, 100.27
cubic, 0.25, 0.0, 10000, 100.27
cubic, 0.3, 0.26, 2, 100.27
cubic, 0.3, 0.32, 10, 100.27
cubic, 0.3, 0.13, 100, 100.27
cubic, 0.3, 0.03, 1000, 100.27
cubic, 0.3, 0.0, 10000, 100.27
cubic, 0.4, 0.19, 2, 100.27
cubic, 0.4, 0.18, 10, 100.27
cubic, 0.4, 0.04, 100, 100.27
cubic, 0.4, 0.03, 1000, 100.27
cubic, 0.4, 0.0, 10000, 100.27
cubic, 0.5, 0.09, 2, 100.27
cubic, 0.5, 0.1, 10, 100.27
cubic, 0.5, 0.03, 100, 100.27
cubic, 0.5, 0.0, 1000, 100.27
cubic, 0.5, 0.0, 10000, 100.27
bbr, 1e-05, 50.98, 2, 100.27
bbr, 1e-05, 92.46, 10, 100.27
bbr, 1e-05, 78.48, 100, 100.27
bbr, 1e-05, 6.83, 1000, 100.27
bbr, 1e-05, 0.0, 10000, 100.27
bbr, 0.0001, 51.99, 2, 100.27
bbr, 0.0001, 91.51, 10, 100.27
bbr, 0.0001, 79.49, 100, 100.27
bbr, 0.0001, 8.45, 1000, 100.27
bbr, 0.0001, 0.0, 10000, 100.27
bbr, 0.001, 53.02, 2, 100.26
bbr, 0.001, 90.71, 10, 100.27
bbr, 0.001, 73.44, 100, 100.27
bbr, 0.001, 8.05, 1000, 100.27
bbr, 0.001, 0.0, 10000, 100.27
bbr, 0.01, 53.34, 2, 100.27
bbr, 0.01, 90.62, 10, 100.27
bbr, 0.01, 61.61, 100, 100.27
bbr, 0.01, 6.64, 1000, 100.27
bbr, 0.01, 0.0, 10000, 100.27
bbr, 0.02, 53.64, 2, 100.27
bbr, 0.02, 92.04, 10, 100.27
bbr, 0.02, 57.26, 100, 100.27
bbr, 0.02, 5.51, 1000, 100.27
bbr, 0.02, 0.0, 10000, 100.27
bbr, 0.05, 51.91, 2, 100.26
bbr, 0.05, 91.3, 10, 100.26
bbr, 0.05, 52.07, 100, 100.27
bbr, 0.05, 4.97, 1000, 100.27
bbr, 0.05, 0.0, 10000, 100.27
bbr, 0.1, 51.33, 2, 100.27
bbr, 0.1, 91.14, 10, 100.27
bbr, 0.1, 45.39, 100, 100.27
bbr, 0.1, 3.23, 1000, 100.27
bbr, 0.1, 0.0, 10000, 100.27
bbr, 0.15, 48.73, 2, 100.27
bbr, 0.15, 90.76, 10, 100.27
bbr, 0.15, 41.2, 100, 100.27
bbr, 0.15, 3.36, 1000, 100.27
bbr, 0.15, 0.0, 10000, 100.27
bbr, 0.2, 44.78, 2, 100.27
bbr, 0.2, 83.04, 10, 100.27
bbr, 0.2, 39.06, 100, 100.27
bbr, 0.2, 2.74, 1000, 100.27
bbr, 0.2, 0.0, 10000, 100.27
bbr, 0.25, 39.82, 2, 100.27
bbr, 0.25, 86.75, 10, 100.26
bbr, 0.25, 36.76, 100, 100.27
bbr, 0.25, 2.08, 1000, 100.27
bbr, 0.25, 0.0, 10000, 100.27
bbr, 0.3, 35.42, 2, 100.27
bbr, 0.3, 85.86, 10, 100.27
bbr, 0.3, 34.62, 100, 100.26
bbr, 0.3, 2.87, 1000, 100.27
bbr, 0.3, 0.0, 10000, 100.27
bbr, 0.4, 23.92, 2, 100.27
bbr, 0.4, 59.34, 10, 100.27
bbr, 0.4, 23.07, 100, 100.27
bbr, 0.4, 1.59, 1000, 100.27
bbr, 0.4, 0.0, 10000, 100.27
bbr, 0.5, 2.73, 2, 100.27
bbr, 0.5, 16.63, 10, 100.27
bbr, 0.5, 17.97, 100, 100.27
bbr, 0.5, 0.48, 1000, 100.27
bbr, 0.5, 0.0, 10000, 100.27
