congestion_control, loss_rate, goodput_Mbps, rtt_ms, bandwidth_Mbps, specified_bw_Mbps
cubic, 1e-05, 97.83, 100, 100.27, 100
cubic, 0.0001, 68.53, 100, 100.27, 100
cubic, 0.001, 5.91, 100, 100.27, 100
cubic, 0.01, 1.85, 100, 100.27, 100
cubic, 0.02, 0.79, 100, 100.27, 100
cubic, 0.05, 0.56, 100, 100.27, 100
cubic, 0.1, 0.32, 100, 100.27, 100
cubic, 0.15, 0.3, 100, 100.27, 100
cubic, 0.2, 0.22, 100, 100.27, 100
cubic, 0.25, 0.22, 100, 100.27, 100
cubic, 0.3, 0.18, 100, 100.27, 100
cubic, 0.4, 0.07, 100, 100.27, 100
cubic, 0.5, 0.07, 100, 100.27, 100
bbr, 1e-05, 94.87, 100, 100.27, 100
bbr, 0.0001, 94.89, 100, 100.27, 100
bbr, 0.001, 90.62, 100, 100.27, 100
bbr, 0.01, 94.41, 100, 100.26, 100
bbr, 0.02, 91.69, 100, 100.27, 100
bbr, 0.05, 92.18, 100, 100.27, 100
bbr, 0.1, 92.95, 100, 100.27, 100
bbr, 0.15, 92.56, 100, 100.27, 100
bbr, 0.2, 92.12, 100, 100.27, 100
bbr, 0.25, 91.35, 100, 100.27, 100
bbr, 0.3, 87.11, 100, 100.27, 100
bbr, 0.4, 87.78, 100, 100.27, 100
bbr, 0.5, 20.14, 100, 100.27, 100
bic, 1e-05, 97.21, 100, 100.27, 100
bic, 0.0001, 95.82, 100, 100.27, 100
bic, 0.001, 9.81, 100, 100.27, 100
bic, 0.01, 1.71, 100, 100.27, 100
bic, 0.02, 1.25, 100, 100.27, 100
bic, 0.05, 0.69, 100, 100.27, 100
bic, 0.1, 0.38, 100, 100.27, 100
bic, 0.15, 0.26, 100, 100.27, 100
bic, 0.2, 0.23, 100, 100.27, 100
bic, 0.25, 0.2, 100, 100.27, 100
bic, 0.3, 0.14, 100, 100.27, 100
bic, 0.4, 0.07, 100, 100.27, 100
bic, 0.5, 0.02, 100, 100.27, 100
vegas, 1e-05, 50.92, 100, 100.27, 100
vegas, 0.0001, 14.61, 100, 100.27, 100
vegas, 0.001, 6.11, 100, 100.27, 100
vegas, 0.01, 1.5, 100, 100.27, 100
vegas, 0.02, 1.12, 100, 100.27, 100
vegas, 0.05, 0.62, 100, 100.27, 100
vegas, 0.1, 0.39, 100, 100.27, 100
vegas, 0.15, 0.24, 100, 100.27, 100
vegas, 0.2, 0.2, 100, 100.27, 100
vegas, 0.25, 0.17, 100, 100.27, 100
vegas, 0.3, 0.15, 100, 100.27, 100
vegas, 0.4, 0.1, 100, 100.27, 100
vegas, 0.5, 0.06, 100, 100.27, 100
westwood, 1e-05, 35.95, 100, 100.27, 100
westwood, 0.0001, 38.79, 100, 100.27, 100
westwood, 0.001, 11.07, 100, 100.27, 100
westwood, 0.01, 2.76, 100, 100.27, 100
westwood, 0.02, 1.48, 100, 100.27, 100
westwood, 0.05, 0.86, 100, 100.27, 100
westwood, 0.1, 0.47, 100, 100.27, 100
westwood, 0.15, 0.34, 100, 100.27, 100
westwood, 0.2, 0.25, 100, 100.27, 100
westwood, 0.25, 0.19, 100, 100.27, 100
westwood, 0.3, 0.15, 100, 100.27, 100
westwood, 0.4, 0.05, 100, 100.27, 100
westwood, 0.5, 0.06, 100, 100.27, 100
reno, 1e-05, 97.44, 100, 100.27, 100
reno, 0.0001, 34.68, 100, 100.27, 100
reno, 0.001, 5.36, 100, 100.27, 100
reno, 0.01, 1.67, 100, 100.27, 100
reno, 0.02, 0.93, 100, 100.27, 100
reno, 0.05, 0.64, 100, 100.27, 100
reno, 0.1, 0.43, 100, 100.27, 100
reno, 0.15, 0.3, 100, 100.27, 100
reno, 0.2, 0.19, 100, 100.27, 100
reno, 0.25, 0.19, 100, 100.27, 100
reno, 0.3, 0.13, 100, 100.27, 100
reno, 0.4, 0.07, 100, 100.27, 100
reno, 0.5, 0.04, 100, 100.27, 100
