congestion_control, loss_rate, goodput_Mbps, rtt_ms, bandwidth_Mbps, specified_bw_Mbps
cubic, 1e-05, 0.01, 100, 0.01, 0.01
cubic, 1e-05, 0.1, 100, 0.1, 0.1
cubic, 1e-05, 1.0, 100, 1.0, 1.0
cubic, 1e-05, 9.91, 100, 10.03, 10.0
cubic, 1e-05, 97.83, 100, 100.27, 100.0
cubic, 0.0001, 0.01, 100, 0.01, 0.01
cubic, 0.0001, 0.1, 100, 0.1, 0.1
cubic, 0.0001, 1.0, 100, 1.0, 1.0
cubic, 0.0001, 9.91, 100, 10.03, 10.0
cubic, 0.0001, 41.83, 100, 100.27, 100.0
cubic, 0.001, 0.01, 100, 0.01, 0.01
cubic, 0.001, 0.1, 100, 0.1, 0.1
cubic, 0.001, 1.0, 100, 1.0, 1.0
cubic, 0.001, 7.18, 100, 10.03, 10.0
cubic, 0.001, 4.27, 100, 100.27, 100.0
cubic, 0.01, 0.01, 100, 0.01, 0.01
cubic, 0.01, 0.1, 100, 0.1, 0.1
cubic, 0.01, 0.88, 100, 1.0, 1.0
cubic, 0.01, 1.78, 100, 10.03, 10.0
cubic, 0.01, 1.38, 100, 100.27, 100.0
cubic, 0.02, 0.01, 100, 0.01, 0.01
cubic, 0.02, 0.1, 100, 0.1, 0.1
cubic, 0.02, 0.79, 100, 1.0, 1.0
cubic, 0.02, 0.71, 100, 10.03, 10.0
cubic, 0.02, 0.83, 100, 100.27, 100.0
cubic, 0.05, 0.01, 100, 0.01, 0.01
cubic, 0.05, 0.1, 100, 0.1, 0.1
cubic, 0.05, 0.39, 100, 1.0, 1.0
cubic, 0.05, 0.49, 100, 10.03, 10.0
cubic, 0.05, 0.58, 100, 100.27, 100.0
cubic, 0.1, 0.01, 100, 0.01, 0.01
cubic, 0.1, 0.1, 100, 0.1, 0.1
cubic, 0.1, 0.32, 100, 1.0, 1.0
cubic, 0.1, 0.34, 100, 10.03, 10.0
cubic, 0.1, 0.34, 100, 100.27, 100.0
cubic, 0.15, 0.01, 100, 0.01, 0.01
cubic, 0.15, 0.09, 100, 0.1, 0.1
cubic, 0.15, 0.28, 100, 1.0, 1.0
cubic, 0.15, 0.3, 100, 10.03, 10.0
cubic, 0.15, 0.26, 100, 100.27, 100.0
cubic, 0.2, 0.01, 100, 0.01, 0.01
cubic, 0.2, 0.06, 100, 0.1, 0.1
cubic, 0.2, 0.18, 100, 1.0, 1.0
cubic, 0.2, 0.24, 100, 10.03, 10.0
cubic, 0.2, 0.23, 100, 100.27, 100.0
cubic, 0.25, 0.01, 100, 0.01, 0.01
cubic, 0.25, 0.06, 100, 0.1, 0.1
cubic, 0.25, 0.13, 100, 1.0, 1.0
cubic, 0.25, 0.2, 100, 10.03, 10.0
cubic, 0.25, 0.17, 100, 100.27, 100.0
cubic, 0.3, 0.01, 100, 0.01, 0.01
cubic, 0.3, 0.07, 100, 0.1, 0.1
cubic, 0.3, 0.13, 100, 1.0, 1.0
cubic, 0.3, 0.15, 100, 10.03, 10.0
cubic, 0.3, 0.19, 100, 100.27, 100.0
cubic, 0.4, 0.01, 100, 0.01, 0.01
